board_name,title,description,link,image_url,published_at
Digitale planner Nederlands,"Digitale planner 2027 voor GoodNotes – Nederlands, met weeknummers","Gedateerde digitale planner 2027 voor iPad en Samsung-tablet. Nederlands, weekstart maandag, weeknummers en feestdagen NL/BE. 12 maandpagina's, 53 weekpagina's, gewoontetracker en doelen, allemaal met hyperlinks. Direct downloaden.",https://umaktx-cz.myshopify.com/products/digitale-planner-2027,https://cdn.shopify.com/s/files/1/1062/7671/6886/files/pin-01-digitale-planner-2027.png?v=1789345106,2026-09-15 19:30
Budget en sparen,Budgetplanner voor Excel en Google Sheets – Nederlands jaaroverzicht,"Nederlandse budgetplanner met jaardashboard en grafiek, 12 maandtabbladen met uitgavenlogboek, spaardoelen, schuldenoverzicht en abonnementenchecker. Werkt in Excel én Google Sheets. Direct downloaden.",https://umaktx-cz.myshopify.com/products/budgetplanner-excel-google-sheets,https://cdn.shopify.com/s/files/1/1062/7671/6886/files/pin-07-budgetplanner-excel-sheets.png?v=1789345107,2026-09-16 19:30
ChatGPT en AI prompts Nederlands,200 Nederlandse ChatGPT-prompts in 10 categorieën,"Nederlandse prompts voor ChatGPT, Claude en Gemini: mails, teksten, studie, planning, werk en meer. 200 prompts in 10 categorieën, als PDF, CSV en TXT. Kopiëren, invullen, klaar.",https://umaktx-cz.myshopify.com/products/ai-prompt-pack-nederlands,https://cdn.shopify.com/s/files/1/1062/7671/6886/files/pin-13-200-nederlandse-prompts.png?v=1789345155,2026-09-17 19:30
Printables en weekplanners,"12 Nederlandse printables: weekplanner, gewoontetracker, to-do en meer","Printbare weekplanner, dagplanner, gewoontetracker, to-do, brain dump, maaltijdplanner, doelen, maandbudget, schoonmaakschema en notities. Ongedateerd, in A4 en A5, zo vaak printen als je wilt.",https://umaktx-cz.myshopify.com/products/printable-bundel-weekplanner-gewoontetracker,https://cdn.shopify.com/s/files/1/1062/7671/6886/files/pin-19-12-printables-a4-a5.png?v=1789345155,2026-09-18 19:30
Plannerij · nieuw in de winkel,"Complete Bundel 2027: planner, budgetplanner, prompts en printables","Alles van Plannerij in één download: Digitale Planner 2027, Budgetplanner voor Excel en Google Sheets, AI Prompt Pack met 200 Nederlandse prompts en 12 printables. Introductieprijs €29,95 i.p.v. €45,80.",https://umaktx-cz.myshopify.com/products/complete-bundel-2027,https://cdn.shopify.com/s/files/1/1062/7671/6886/files/pin-25-complete-bundel-2027.png?v=1789345340,2026-09-18 12:30
Planning en overzicht,Zo ziet een Nederlandse weekpagina eruit in GoodNotes,"Weekplanner op je iPad zonder Engelse feestdagen of weekstart op zondag. De Digitale Planner 2027 heeft 53 weekpagina's met weeknummers en NL/BE-feestdagen, plus notitieruimte. Werkt in GoodNotes, Notability en Samsung Notes.",https://umaktx-cz.myshopify.com/products/digitale-planner-2027,https://cdn.shopify.com/s/files/1/1062/7671/6886/files/pin-02-weekpagina-goodnotes.png?v=1789345109,2026-09-19 19:30
Budget en sparen,Maandbudget maken in Excel of Google Sheets – stap voor stap,"Hoe maak je een maandbudget dat je ook volhoudt? In dit artikel leggen we het rustig uit: inkomsten, vaste lasten, variabele uitgaven en sparen. Met een kant-en-klare Nederlandse budgetplanner als je liever niet zelf bouwt.",https://umaktx-cz.myshopify.com/blogs/blog/maandbudget-maken-excel-google-sheets,https://cdn.shopify.com/s/files/1/1062/7671/6886/files/pin-08-maandbudget-maken.png?v=1789345106,2026-09-20 19:30
ChatGPT en AI prompts Nederlands,Nederlandse ChatGPT-prompts die je tijd besparen (met voorbeelden),"Waarom werken Engelse promptlijsten vaak niet voor Nederlandse mails en teksten? In dit artikel delen we voorbeelden van prompts die wél goed Nederlands opleveren, en hoe je ze aanpast.",https://umaktx-cz.myshopify.com/blogs/blog/nederlandse-chatgpt-prompts-tijd-besparen,https://cdn.shopify.com/s/files/1/1062/7671/6886/files/pin-14-tijd-besparen-prompts.png?v=1789345154,2026-09-21 19:30
Printables en weekplanners,"Weekplanner printable A4 – Nederlands, ongedateerd","Rustige weekplanner om te printen: maandag t/m zondag, ruimte voor prioriteiten en notities. Ongedateerd, dus elke week opnieuw te gebruiken. In A4 en A5. Onderdeel van de Printable Bundel met 12 pagina's.",https://umaktx-cz.myshopify.com/products/printable-bundel-weekplanner-gewoontetracker,https://cdn.shopify.com/s/files/1/1062/7671/6886/files/pin-20-weekplanner-printable.png?v=1789345154,2026-09-22 19:30
Planning en overzicht,"Je hele 2027 op orde: agenda, geld en gewoontes in één pakket","Weekplanning op je tablet, budget in Google Sheets, printables op de koelkast en prompts voor je schrijfwerk. De Complete Bundel 2027 van Plannerij, Nederlandstalig en direct te downloaden.",https://umaktx-cz.myshopify.com/products/complete-bundel-2027,https://cdn.shopify.com/s/files/1/1062/7671/6886/files/pin-26-agenda-geld-gewoontes.png?v=1789345340,2026-09-23 19:30
Gewoontes en routines,Gewoontetracker per maand in je digitale planner,"Elke maand een eigen gewoontetracker, direct in je planner. Vink af op je tablet, geen losse app nodig. Onderdeel van de Nederlandse Digitale Planner 2027 voor GoodNotes en Samsung Notes.",https://umaktx-cz.myshopify.com/products/digitale-planner-2027,https://cdn.shopify.com/s/files/1/1062/7671/6886/files/pin-03-gewoontetracker-maand.png?v=1789345106,2026-09-24 19:30
Budget en sparen,52-weken spaarchallenge in Google Sheets – vink elke week af,"De 52-weken spaarchallenge zit standaard in onze Nederlandse budgetplanner: elke week een bedrag, automatisch opgeteld. Ook spaardoelen met voortgang en een abonnementenchecker. Voor Excel en Google Sheets.",https://umaktx-cz.myshopify.com/products/budgetplanner-excel-google-sheets,https://cdn.shopify.com/s/files/1/1062/7671/6886/files/pin-09-52-weken-spaarchallenge.png?v=1789345107,2026-09-25 19:30
ChatGPT en AI prompts Nederlands,Prompts voor mails en klantcommunicatie – Nederlands en direct bruikbaar,"Offerte opvolgen, nette afwijzing, herinnering sturen: met deze Nederlandse prompts schrijf je in ChatGPT of Claude in een paar seconden een goede eerste versie. Onderdeel van het AI Prompt Pack (200 prompts).",https://umaktx-cz.myshopify.com/products/ai-prompt-pack-nederlands,https://cdn.shopify.com/s/files/1/1062/7671/6886/files/pin-15-prompts-voor-mails.png?v=1789345155,2026-09-25 12:30
Printables en weekplanners,Maaltijdplanner en boodschappenlijst voor op de koelkast,"Print de maaltijdplanner, vul de week in en hang hem op de koelkast. Minder ""wat eten we vandaag?"", minder impulsboodschappen. Nederlandse printable in A4 en A5, uit de Printable Bundel.",https://umaktx-cz.myshopify.com/products/printable-bundel-weekplanner-gewoontetracker,https://cdn.shopify.com/s/files/1/1062/7671/6886/files/pin-21-maaltijdplanner.png?v=1789345339,2026-09-26 19:30
Rust in je hoofd,"Startpakket voor een rustiger jaar – Nederlands, zonder abonnement","Geen tien apps, geen abonnement. Eén bundel met een digitale planner 2027, budgetplanner, 200 AI-prompts en 12 printables. Rust in je hoofd begint met overzicht.",https://umaktx-cz.myshopify.com/products/complete-bundel-2027,https://cdn.shopify.com/s/files/1/1062/7671/6886/files/pin-27-rust-in-je-hoofd.png?v=1789345340,2026-09-27 19:30
Digitale planner Nederlands,Digitale planner of papieren planner? Zo kies je voor 2027,"Twijfel je tussen een iPad-planner en papier? In dit artikel zetten we de voor- en nadelen rustig op een rij, met tips om te beginnen. Spoiler: je hoeft niet te kiezen, onze planner heeft ook een printbare A4/A5-versie.",https://umaktx-cz.myshopify.com/blogs/blog/digitale-planner-of-papieren-planner-2027,https://cdn.shopify.com/s/files/1/1062/7671/6886/files/pin-04-digitaal-of-papier.png?v=1789345107,2026-09-28 19:30
Budget en sparen,Abonnementenchecker: zie in één keer wat je per maand kwijt bent,"Streaming, sport, apps, verzekeringen: in de abonnementenchecker van onze budgetplanner zie je per maand en per jaar wat je betaalt. Onderdeel van de Nederlandse budgetplanner voor Excel en Google Sheets.",https://umaktx-cz.myshopify.com/products/budgetplanner-excel-google-sheets,https://cdn.shopify.com/s/files/1/1062/7671/6886/files/pin-10-abonnementenchecker.png?v=1789345106,2026-09-29 19:30
Planning en overzicht,"AI-prompts voor studenten: samenvatten, oefenvragen, planning","Laat ChatGPT of Claude je helpen met samenvatten, oefenvragen maken en je tentamenweek plannen. Nederlandse prompts, kant-en-klaar. Onderdeel van het AI Prompt Pack: 200 prompts, PDF + CSV + TXT.",https://umaktx-cz.myshopify.com/products/ai-prompt-pack-nederlands,https://cdn.shopify.com/s/files/1/1062/7671/6886/files/pin-16-prompts-studenten.png?v=1789345155,2026-09-30 19:30
Rust in je hoofd,Brain dump printable: alles uit je hoofd op één vel,"Eén vel, één kader, alles wat rondzingt in je hoofd. Daarna pas sorteren. De brain dump zit in onze Printable Bundel samen met een dagplanner met drie prioriteiten en een gewoontetracker. A4 en A5.",https://umaktx-cz.myshopify.com/products/printable-bundel-weekplanner-gewoontetracker,https://cdn.shopify.com/s/files/1/1062/7671/6886/files/pin-22-brain-dump.png?v=1789345339,2026-10-01 19:30
Printables en weekplanners,"Bundel voor ouders: gezinsplanner, maaltijdplanner en budget in één","Weekpagina's voor het gezin, maaltijdplanner en schoonmaakschema om te printen, budgetplanner met abonnementenchecker. De Complete Bundel 2027 van Plannerij, Nederlandstalig.",https://umaktx-cz.myshopify.com/products/complete-bundel-2027,https://cdn.shopify.com/s/files/1/1062/7671/6886/files/pin-28-bundel-voor-ouders.png?v=1789345340,2026-10-02 19:30
Planning en overzicht,Maandoverzicht 2027 met feestdagen Nederland en België,"12 maandpagina's met weeknummers en de feestdagen van Nederland en België al ingevuld. Klik vanuit de maand direct naar de week. Nederlandse digitale planner 2027, ook als printbare PDF.",https://umaktx-cz.myshopify.com/products/digitale-planner-2027,https://cdn.shopify.com/s/files/1/1062/7671/6886/files/pin-05-maandoverzicht-2027.png?v=1789345106,2026-10-03 19:30
Planning en overzicht,Jaardashboard met grafiek: je inkomsten en uitgaven in één oogopslag,"Het jaardashboard van onze budgetplanner telt alle maanden automatisch op en toont een grafiek van inkomsten, uitgaven en sparen. Nederlands, in euro's, voor Excel en Google Sheets. Eenmalige aankoop, geen abonnement.",https://umaktx-cz.myshopify.com/products/budgetplanner-excel-google-sheets,https://cdn.shopify.com/s/files/1/1062/7671/6886/files/pin-11-jaardashboard-grafiek.png?v=1789345155,2026-10-04 19:30
Rust in je hoofd,Prompts om grote taken op te knippen in kleine stappen,"Moeite met beginnen? Deze Nederlandse prompts laten ChatGPT of Claude een taak opdelen in kleine, haalbare stappen met tijdsinschatting. Rustig en concreet. Uit het AI Prompt Pack van Plannerij.",https://umaktx-cz.myshopify.com/products/ai-prompt-pack-nederlands,https://cdn.shopify.com/s/files/1/1062/7671/6886/files/pin-17-taken-kleine-stappen.png?v=1789345155,2026-10-05 19:30
Printables en weekplanners,Schoonmaakschema printen – per week en per maand,"Een schoonmaakschema dat je gewoon afvinkt: dagelijkse, wekelijkse en maandelijkse taken op één pagina. Nederlandse printable in A4 en A5, onderdeel van de Printable Bundel met 12 pagina's.",https://umaktx-cz.myshopify.com/products/printable-bundel-weekplanner-gewoontetracker,https://cdn.shopify.com/s/files/1/1062/7671/6886/files/pin-23-schoonmaakschema.png?v=1789345340,2026-10-06 19:30
ChatGPT en AI prompts Nederlands,"Bundel voor zzp'ers: weekplanner, budget en prompts voor je mails","Weeknummers voor je planning, budgetplanner voor wisselend inkomen en 200 Nederlandse prompts voor mails, offertes en social media. Alles samen in de Complete Bundel 2027.",https://umaktx-cz.myshopify.com/products/complete-bundel-2027,https://cdn.shopify.com/s/files/1/1062/7671/6886/files/pin-29-bundel-voor-zzp.png?v=1789345340,2026-10-07 19:30
Digitale planner Nederlands,Studieplanner 2027 voor iPad – weeknummers en deadlines op één plek,"Colleges, deadlines en bijbaan in één digitale planner met weeknummers (handig voor je rooster). Nederlands, gedateerd voor 2027, met doelenpagina's en notities. Voor GoodNotes, Notability en Samsung Notes.",https://umaktx-cz.myshopify.com/products/digitale-planner-2027,https://cdn.shopify.com/s/files/1/1062/7671/6886/files/pin-06-studieplanner-2027.png?v=1789345107,2026-10-08 19:30
Budget en sparen,Budgetplanner voor zzp'ers met wisselend inkomen,"Onregelmatig inkomen? Log per maand wat binnenkomt en wat eruit gaat, bouw een buffer op via spaardoelen en houd schulden overzichtelijk. Nederlandse budgetplanner voor Excel en Google Sheets, direct te downloaden.",https://umaktx-cz.myshopify.com/products/budgetplanner-excel-google-sheets,https://cdn.shopify.com/s/files/1/1062/7671/6886/files/pin-12-budget-wisselend-inkomen.png?v=1789345155,2026-10-09 19:30
ChatGPT en AI prompts Nederlands,Prompt Pack als CSV: laad 200 prompts in je eigen tool,"Het AI Prompt Pack komt als PDF om te lezen, als CSV om te importeren en als TXT om te kopiëren. 200 Nederlandse prompts voor ChatGPT, Claude en Gemini in 10 categorieën. Eenmalige aankoop.",https://umaktx-cz.myshopify.com/products/ai-prompt-pack-nederlands,https://cdn.shopify.com/s/files/1/1062/7671/6886/files/pin-18-pdf-csv-txt.png?v=1789345155,2026-10-10 19:30
Gewoontes en routines,Gewoontetracker printable – 30 dagen afvinken,"Gewoontetracker om te printen: gewoontes in de rijen, dagen in de kolommen, afvinken maar. Ongedateerd, dus elke maand opnieuw. Onderdeel van de Nederlandse Printable Bundel (12 printables, A4 en A5).",https://umaktx-cz.myshopify.com/products/printable-bundel-weekplanner-gewoontetracker,https://cdn.shopify.com/s/files/1/1062/7671/6886/files/pin-24-gewoontetracker-printable.png?v=1789345339,2026-10-11 19:30
Plannerij · nieuw in de winkel,Wat zit er in de Complete Bundel 2027? Volledig overzicht,"Digitale Planner 2027 (hyperlinked PDF + printbaar), Budgetplanner (Excel en Google Sheets), AI Prompt Pack (PDF, CSV, TXT) en Printable Bundel (12 pagina's, A4 en A5). Eén bestand, één keer betalen.",https://umaktx-cz.myshopify.com/products/complete-bundel-2027,https://cdn.shopify.com/s/files/1/1062/7671/6886/files/pin-30-dit-zit-erin.png?v=1789345339,2026-10-12 19:30
